,PERMNO,DATE,SHRCD,HEXCD,RET,date
251,10001.0,2005-04-29,11.0,2.0,-0.07468356192111969,2005-04-29
252,10001.0,2005-05-31,11.0,2.0,0.21903032064437866,2005-05-31
253,10001.0,2005-06-30,11.0,2.0,0.1284288913011551,2005-06-30
254,10001.0,2005-07-29,11.0,2.0,0.009944767691195011,2005-07-29
255,10001.0,2005-08-31,11.0,2.0,0.03938727080821991,2005-08-31
256,10001.0,2005-09-30,11.0,2.0,0.21157896518707275,2005-09-30
257,10001.0,2005-10-31,11.0,2.0,-0.11903561651706696,2005-10-31
258,10001.0,2005-11-30,11.0,2.0,-0.0593966506421566,2005-11-30
259,10001.0,2005-12-30,11.0,2.0,0.021052611991763115,2005-12-30
260,10001.0,2006-01-31,11.0,2.0,-0.01649484969675541,2006-01-31
261,10001.0,2006-02-28,11.0,2.0,-0.010537347756326199,2006-02-28
262,10001.0,2006-03-31,11.0,2.0,0.17039397358894348,2006-03-31
263,10001.0,2006-04-28,11.0,2.0,-0.09463147819042206,2006-04-28
264,10001.0,2006-05-31,11.0,2.0,-0.010452263057231903,2006-05-31
265,10001.0,2006-06-30,11.0,2.0,-0.07638739794492722,2006-06-30
266,10001.0,2006-07-31,11.0,2.0,0.15741683542728424,2006-07-31
267,10001.0,2006-08-31,11.0,2.0,0.12357395142316818,2006-08-31
268,10001.0,2006-09-29,11.0,2.0,-0.05417025834321976,2006-09-29
269,10001.0,2006-10-31,11.0,2.0,0.0072727203369140625,2006-10-31
270,10001.0,2006-11-30,11.0,2.0,0.051444027572870255,2006-11-30
271,10001.0,2006-12-29,11.0,2.0,-0.03729395940899849,2006-12-29
272,10001.0,2007-01-31,11.0,2.0,0.023279275745153427,2007-01-31
273,10001.0,2007-02-28,11.0,2.0,0.26162126660346985,2007-02-28
274,10001.0,2007-03-30,11.0,2.0,0.01973225548863411,2007-03-30
275,10001.0,2007-04-30,11.0,2.0,0.002764337230473757,2007-04-30
276,10001.0,2007-05-31,11.0,2.0,0.04341829940676689,2007-05-31
277,10001.0,2007-06-29,11.0,2.0,0.0006671266746707261,2007-06-29
